Категория,Вопросы,Ответ,Квартал
Даурен,"Предлагаю поддержать Даурена в чате, знаем, что вы волнуетесь каждый спанч-боб.
Кто согласен, накидаем огоньков в чат!",Спасибо,Q2 2024
Даурен,"Уважаемый Даурен, в этом году прошла реструктуризация в 7Generation. Как вы оцениваете на текущий момент, стало ли лучше и по каким параметрам? 

Коснется ли это всех групп компаний? Стоит ли КДССу переживать уже? ","Уже вижу эффективность, фокус. В целом однозначно стало лучше. В КДСС будем менять орг структуру.",Q2 2024
Даурен,"Даурен, Расскажите какие шаги нужны принять условно middle разработчику или middle project менеджеру, чтобы стать директором и попасть на эту доску почета? 

Есть ли примеры в компании, когда разработчик доходил до такого уровня? ","Все директора были на мидл уровне. Здесь нужно просто делать свою работу классно, выходить за рамки себя. Показать свою включенность",Q2 2024
Даурен,"Даурен, можете показать в настройках свое экранное время на айфоне и на макбуке? Очень интересно, какими приложениями вы пользуетесь, и какие сайты чаще всего посещаете.

С уважением, Любопытный Аноним Анонимыч! ","Я отключил эту функцию, чтобы Apple не мониторил и не собирал статистику. Я очень много работаю в миро, браузер сафари, икс майнд.",Q2 2024
Даурен,"Даурен, Сiзге улкен Рахмет! Офигенная компания! ",Рахмет!,Q2 2024
Даурен,"Я влюбилась в прошедший ребут! Хочу передать свои восхищения рыжебородому красавчику, экспортной богине, квнщикам из кедена и лысому суицид-охотнику!  ","Они молодцы, согласен, крутые ребята.",Q2 2024
Даурен,Есть ли у нас в компании суперкомпьютер? Планируем ли мы его покупать для тренировок AI?,"В компании нет суперкомпьютера.
Скоро будет запускаться суперкомпьютер в Казахстане, ведем переговоры, чтобы у нас был доступ",Q2 2024
Даурен,Какой совет вы бы дали себе 25-летнему? ,"1. Уволиться и в 25 лет начать заниматься IT продуктами
2. Заниматься больше спортом и правильно питаться",Q2 2024
Даурен,"Почему в компании стоит задача перейти на английский язык, а Даурен не ведет свои социальные сети на английском языке? Это цель просто для красоты?","Я прокастинирую где-то, и при всех даю обещание, что выучу английский язык. Чуть позже опубликую
Касаемо ведения соц сетей на английском, пока нас не читают много кто на английском. Сделаю так, чтобы цель была достигнута",Q2 2024
Даурен,"Даурен, ведете ли вы календарь? Считаете ли введение его важным? Можете показать свой календарь на неделю, что дать пример, как быть эффективным? ","Конфиденциальная информация, полностью загружены все дни.",Q2 2024
АХО,Плохой WiFi последние дни в офисе! ,"Проблема была в Жусан мобайл, он не справился, приняли решение поменять - перешли на казтелепорт",Q2 2024
Даурен,"После выступлений на ребуте ребят из нашей AI команды, у меня появилась фобия, что скоро нас уничтожит этот сильный искусственный интеллект. Боитесь ли вы его? Согласны ли вы с опасениями, которыми они поделились? ","Опасения есть, тогда будет как Дюна, но мы выживем.
Но думаю бояться нечего, на наш век хватит",Q2 2024
Даурен,"Где прячется этот Кахар? Почему его я ни разу не видела за последние 2 года, как работаю в компании? xDDD ","Кахар живет в Гааге, Голандия. Поэтому вы его не видите",Q2 2024
Даурен,Назовите топ-5 самых красивых девушек Каздрима по-вашему мнению? xDD,"Я не буду этого делать, я считаю, что у нас все девушки красивые.",Q2 2024
Даурен,"Помню, что было заявлено появление опционов в компании в 2022 году. Расскажите, что стало с этой идеей? Сколько человек получили опционы? Все ли директоры имеют их сегодня? Все ли менеджеры, Лиды и сеньоры их имеют? 

Какие условия для их получения? ","Опционы не получил никто, так как программа еще не разработана. В Казахстане я этого делать не буду, буду делать через зарубежную компанию. Думаю, что до конца года разработаем",Q2 2024
Даурен,"Даурен, какой президент вам кажется более эффективным? Текущий или предыдущий?",Мое мнение - текущий,Q2 2024
Даурен,"Уважаемый Даурен,

Ваши инновации и достижения вдохновляют многих по всему миру. У меня возник вопрос, который может показаться необычным, но я бы очень хотел услышать Ваши мысли по этому поводу.

Как Вы думаете, насколько вероятно, что наша реальность является всего лишь сложной симуляцией, созданной более продвинутой цивилизацией? Если мы действительно живем в виртуальной матрице, каким образом это могло бы повлиять на наши цели, мотивацию и понимание успеха?

С уважением,  Анонимный Исследователь Матрицыбаев","Думаю, что никак.
",Q2 2024
Даурен,"Ваши решения и действия в качестве лидера компании значительно повлияли на множество людей и их жизни. Я хотел бы задать Вам вопрос, который, возможно, заставит Вас задуматься о своей роли и моральной ответственности.

Как Вы считаете, существует ли вероятность, что некоторые из Ваших стратегических решений, направленных на рост и успех компании, могли непреднамеренно нанести ущерб или нарушить судьбы людей, а может даже и всей страны. Если бы у Вас была возможность пересмотреть свои действия, что бы Вы изменили, чтобы минимизировать негативные последствия? 

С уважением,  Анонимов Пострадавшибек ","Некоторые судьбы были изменены в худшую сторону, это преступники, мошенники, но изменило в лучшую сторону для общественности. 
Я несу ответсвенность за нашу компанию, за наши продукты.",Q2 2024
Даурен,"Ваши решения привели компанию к большому успеху. Хочу поздравить вас с этим! Но за этим успехом стоят разрушенные судьбы, путь по головам. Вы когда-нибудь задумывались о тех, кто потерял работу и надежду из-за ваших действий? О тех, чьи мечты были разбиты вашим стремлением к прибыли?

Когда ночь наступает, не мучает ли вас осознание того, что за каждым триумфом компании стоят страдания и боль других людей? Как вы живете, зная, что ваши решения сломали жизни, разрушили семьи и лишили детей будущего?

Если бы у вас была возможность вернуть время вспять и исправить хотя бы одну ошибку, чтобы уменьшить эту боль, что бы вы изменили? Как вы справляетесь с грузом этой вины?

С уважением,  
Анонимный свидетель человеческих трагедий","Никакого чувства вины у меня нет. Ты должен испытывать чувство вины когда ты виноват, допустим, если ты создал какой-то продукт, который рушит жизни людей. Я испытываю полную 100% уверенность своих действий. 
Наши продукты обеспечели прозрачность, мы не ходим по головам и наши продукты тоже.",Q2 2024
Даурен,"Правда ли, что ссылка на спанч боб является фишинговой, чтобы отследить, кто задавал вопрос? Вроде это какой-то проект в компании. Блик или блюр называли.","Это ссылка на гугл форм, где вы сами задаете вопрос.",Q2 2024
Даурен,"Уважаемый Даурен. Я пишу вам анонимно, потому что мне очень страшно и сложно говорить об этом открыто. Я начинающий разработчик в нашей компании, мне 21 год, работаю недавно, заканчиваю университет. 

Мы живем в не богатой стране, где коррупция и бытовое варварство, привет Бишимбаев, не оставляют шансов на спокойную жизнь. Жить безумно трудно. В добавок к этому я каждую ночь с трудом засыпаю или вовсе не сплю до утра, потому что смотрю видео на YouTube и TikTok, где показывают, как искусственный интеллект отнимает рабочие места у дизайнеров и уже и у программистов. Показывают сокращения массовые в Google, Facebook, Amazon и в остальных компаниях. Это развитие пугает меня больше, чем ковид.

Каждый день я живу с растущим страхом, что мои усилия и мечты окажутся напрасными. Мне кажется, что не одинок. Все мои друзья тоже так думают. Скажите, как вы видите наше будущее, когда ИИ продолжает стремительно развиваться? На ребуте много рассказывали, как совсем скоро все станет еще хуже из-за появления сильного AI. Не боитесь ли вы, что однажды он полностью заменит нас, и все наши навыки станут бесполезными? Что нам, живущим в странах с нестабильной экономикой и коррупцией, делать, чтобы не потерять работу и надежду на светлое будущее?

Как жить, зная, что наши карьеры и даже жизни могут быть уничтожены в одно мгновение? ","Во-первых, даже если это будет, то не так скоро
Наша компания никогда не оставит сотрудников, не уволят. Мы будем давать вам новые задачи.
В нашу жизнь конечно это придет, что-то поменяет. Давайте вместе меняться и вместе хакать ее.
Когда этот вопрос возникнет и будет актуален - будем вместе решать это",Q2 2024
Даурен,Спасибо Думану Сембаеву ! Лучший !,Таких как Думан почти нет,Q2 2024
Даурен,"Предлагаю задуматься над позиционированием наших компаний/холдинга. 

Часто можно слышать у большинства кандидатах на собеседованиях, что мы дочка комитета или квазигос компания. Больше всего это проявляется, когда твои кандидаты это middle+ профессионалы. В итоге каждый раз тратишь условные 5 минут на прояснение ситуации, переубеждения их в том, что частная компания, не следим за людьми и т.д. 

Огромная просьба, уделить особое внимание PR-y и позиционированию нас на рынке труда. Думаю, что на 10 год существования компании, пора уже об этом задуматься. 

С уважением, обеспокоенный и негодующий состоянием дел сотрудник BFE.",Отвечал выше,Q2 2024
Даурен,"ButterflyEffect - переводится как эффект бабочки, где аббревиатура получается как BE. Почему у нас она BFE? Это же тогда ButterFly Effect, эффект масленной мухи или эффект летающего масла? Давайте будем BE. Рахмет ","Я предлагаю ничего не менять, от этого суть не менятеся",Q2 2024
Даурен,"Предлагаю ввести на спанч-бобе, выступлении Даурена, новых персонажей. Например, Патрик - какой-нибудь смешной сотрудник для шуток, Красти Краб - условный бухгалтер или финансист для остановки от глупых трат, Скидвард - всегда недовольный разработчик для обсуждения с технической точки зрения, Сэнди Чикс - ботаник дата саентист для научной точки зрения, Улитка Гэрри - домашнее животное для милоты. Получится действительно интересно и необычно, всех персонажей (кроме Спанч-боба) каждый раз можно менять. ","Такого не будет, спанч боб буду вести только я один, в этом и есть уникальность спанч боба.",Q2 2024
АХО,"Огромная просьба, на кухне 9-го этажа переставить поднос с сиропами ближе стороне, где раковина. Неудобно туда постоянно ходить, а кофемашина без кофеина вообще странная идея, как безалкогольное пиво или резиновая женщина, и не понятно, почему они там стоят.

С уважением!","Окей, сделаем",Q2 2024
Даурен,"Хочу поблагодарить Алексея и Даурена! За классную компанию - 7Generation, где самые сложные и интересные проекты, и команда отличная. До сих в пор в шоке, что умеем так хорошо это все делать. Еще и экспорт делаем. Просто ВАУ! Даурену спасибо за холдинг, жаль, что не во всех компаниях, как в 7G. Но надеюсь они подтянутся. ","Это вызов всем, ребята",Q2 2024
Даурен,"Помню, что говорили про доли компании, которые смогут получать сотрудники. Есть ли где-то формальные объяснения, как это работает, кто может претендовать и в какой форме они получаются? ","Я готовлю это, мы структурируем, все последовательно ",Q2 2024
АХО,В вендинговых аппаратах ничего нет. Зачем нам они пустые? Может сменим поставщиков? ,Окей,Q2 2024
Даурен,Планирует ли какую-нибудь компанию покупать холдинг BFE?,"Пока нет, нас хотят некоторые компании купить, не продаем",Q2 2024
АХО,"Давайте на кухнях добавим бесплатные фрукты, орешки, печенья, конфеты. Как в других IT компаниях, сильно повысим лояльность сотрудников.","К вопросу про завтрак, добавим",Q2 2024
Даурен,"Почему в каких-то компаниях можно работать удаленно, например в 7G, а других надо в офис ходить, например Propeople и Kazdream Group? Что в 7G какие-то крутые и особенные сотрудники? 

я из 7G, просто хотел похвастаться😁 ",Каждая компания решает сама,Q2 2024
Даурен,"Классный ребут, особенно панельные сессии, выступление от Замахова Александра, выступление от Артема Рычко, выступление от Алтынбека Шарипова, выступление  от кедена. Ведущий хороший. Даурен как всегда - топ! Вторая панелька была огненная, как-будто на стендапе побывала)) 
Организаторы - молодцы!",Мы топчиков набрали себе,Q2 2024
АХО,"Было бы ооочень круто если в офисе будет отпариватель, в случае важных мероприятий, а по дороге одежда уже помялась.

Рахмет 🙌🏻","Купим один отпариватель, посмотрим, будут ли им пользоваться. Поставим в одну из гардеробных",Q3 2024
АХО,"1. прошу рассмотреть возможность организации отдельной комнаты/уголка/место для совершения молитв для женского пола. На тек. день пользуемся одной общей комнатой на 5 этаже, что не всегда удобно, так как мужчины могут заходить без очереди в то время, когда внутри тоже мужчина находится-соответственно придется ждать пока не будет ни одного мужчины чтобы войти женщинам.
2. Прошу рассмотреть возможность установки контейнеров для пластиков бутылок для дальнейшей сдачи на переработку. может и капля в море но бфе)","1. Возьмем в работу про отдельную комнату для совершения молитв
2. Если вы предложите компанию, которая будет готова приехжать и забирать пластик, то мы поставим на каждом этаже место для сбора",Q3 2024
Event,"Уважаемый Даурен!

Хотел бы обратить Ваше внимание на некоторые аспекты, которые могут способствовать улучшению атмосферы в нашей компании и снижению уровня токсичности и высокомерия среди некоторых разработчиков. Вот несколько факторов, которые, по моему мнению, могут влиять на поведение сотрудников:

1) Стресс и перегрузка: Работа разработчиком часто сопровождается высоким уровнем стресса и необходимостью решать сложные задачи в сжатые сроки. Это может приводить к выгоранию и повышенной раздражительности.

2) Недостаток мягких навыков (soft skills): Некоторым сотрудникам может не хватать навыков общения и эмоционального интеллекта, что затрудняет эффективное взаимодействие с коллегами и управление конфликтами.

3) Культура в компании: В некоторых организациях может существовать культура конкуренции и давления, что способствует развитию токсичного поведения. Если токсичное поведение не пресекается руководством, оно может становиться нормой.

4) Техническая сложность и уникальные знания: Некоторые разработчики могут чувствовать себя незаменимыми из-за своих уникальных технических навыков и знаний. Это может вызывать чувство превосходства и высокомерия.

5) Личный опыт и прошлые травмы: Личный опыт и предыдущие неудачи или конфликты могут влиять на поведение сотрудников. Например, если разработчик ранее работал в токсичной среде, он может перенести это поведение в новое место работы.

6) Отсутствие признания и поддержки: Недостаток признания за свои достижения и отсутствие поддержки со стороны коллег и руководства может привести к фрустрации и агрессивному поведению.

7) Неудовлетворенность работой: Если разработчик чувствует, что его работа не приносит удовлетворения или не соответствует его ожиданиям, это может приводить к негативному отношению и поведению.

Для снижения токсичности и высокомерия в команде важно создать культуру взаимного уважения и поддержки, обеспечить условия для профессионального развития и заботиться о благополучии сотрудников. Ваше внимание к этим аспектам может значительно улучшить рабочую атмосферу и повысить общую эффективность команды.

С уважением, хороший человек!",Спасибо  за такой комментарий и рекомендации. Нужно будет отправить в чат с HR. Добавим в общую базу в BFE.,Q3 2024
АХО,"Здравствуйте! Супер что каждое утро каши и фрукты, по вторникам мороженое. За это большое спасибо! Татешка шутит что мы в садике) Можно ли узнать, когда будут продавать еду на 11 этаже? Желательно что-то полезное и вкусное, были пирожки, но это не совсем полезная еда, может боулы и безглютеновая еда как вариант. Также хочу попросить вернуть альтернативное молоко, его уже больше месяца его нету в холодильнике.","Молоко вернем. 
Касаемо еды на 11 этаже - изучим.
",Q3 2024
АХО,"Даурен, добрый день  в первую очередь хочу поблагодарить за условия которые создали для сотрудников на кухне, рабочий день начинается с вкусной каши и ароматного кофе. В особенности большое спасибо офис менеджеру Саиде за атмосферу уюта которую она создает каждый день. а что касательно вопроса: хочу попросить Вас обратить внимание на Алматинский офис. Мы видим каждый раз как преображается офис в Астане и рады за коллег(но чуть-чуть не от души). А все потому что сейчас в нашем офисе сидят команды из трех компаний, каждая команда растет, а места все меньше и меньше. У нас отсутствуют переговорные, silent box-ы, отдельные зоны отдыха, теннисная, игровая, а кабинет директора у нас переговорка, кабинет английского, все в одном. Также обычные человеческие удобства как уборная, тоже являются больной темой, у нас их просто не хватает, не говоря уже о наличии Алисы)  P.S. Мы знаем что поиск офиса ведется уже очень давно, но результата нет. Прошу обратить ваше внимание на данный вопрос, заранее благодарю Вас","Хорошо, я обращу отдельное внимание на этот вопрос. Попрошу Каната Садыкова связаться со мной после Спанч Боба",Q3 2024
Битрикс,"Даурен сделайте пожалуйста замечание коллегам , чтобы выходя из переговорных убирали за собой и сдвигали аккуратно стулья. Зайдешь а воздуха нет, так еще и бардак. Приходится еще и уборкой заниматься, особенно не удобно если с тобой заказчики или кандидаты. Попили воду из бутылок, берите и в мусорку, стул аккуратно ставьте, все подвиньте на столе, убирайте свои использованные салфетки, и доску чистую оставляйте. Стаканы на 11 этаже вечно использованные после как попьете воду, тоже забирайте и мойте сразу.
P.S переходим из темы туалетов к переговорным","Я призываю всех убирать за собой, оставляйте после себя чистые переговорные. Все зависит от вас самих, здесь про самодисциплину",Q3 2024
Event,"в игровую комнату поставить кубы рубика вплоть до 11х11
https://cubemaster.kz/products/moyu-mofangjiaoshi-meilong-11x11/#48570-2","Окей, поставим",Q3 2024
Event,"Здравствуйте!
Можно ли рассмотреть в концепте мерча компании какую нибудь официальную одежду?, т.е. худи это круто да, спасибо вам за это. Но было бы также здорово надеть рубашку/жилетку или просто типа пиджачок с лого компании для официальных встреч с заказчиками. 
P.s: сорри если данный вопрос ранее уже поднимался))","Я предлагаю в велком бокс класть металлические значки лого BFE .
Закажем 600 значков",Q3 2024
АХО,"Заказать утяжелители к турникам на 9ом этаже. 
57942770
16401000
7758373
WB","Хорошо, закажем на 9, если будет востребован, то закажем на все этажи",Q3 2024
АХО,"Установить фильтры для воды на замену бутилированной воде. Экономнее, вода вкуснее и бутыли не будут занимать место на кухне.","Хорошее предложение, подумаем над этим",Q3 2024
Даурен,"Надо что-то придумать с бронью переговорок. Каждая третьй или четвертый слот в итоге не используется. Или кто-то специально всех злит, или просто нет культуры отменить бронь. Честно, не хватает еще 1-2 silent box на этаж. К сожалению у нас любят срочно-прям-вот-сейчас выйти на созвон, из-за чего приходится выходить в открытый океан и искать ближайшее место, где можно сесть.  ","Давайте сперва культуру прививать и правила. Если вам не нужен этот митинг рум - отмените. По сайлент боксам, попробуем решить этот вопрос",Q3 2024
Event,"Добрый день! Спасибо за все блага, которые вы делаете для компании и сотрудников. Мы это ценим и с бережливостью относимся к имуществу компании. Но к сожалению, такого же бережливого отношения я не вижу от сотрудников КГД, кабинеты которых размещены на 10 этаже. Не раз приходилось заметить, что салфетки попадали в раковину, брызки на кофе-машине от молока не вытерались виновником. Прошу провести обучение для них и возможно для некоторых наших сотрудников по использованию кофе-машины, так как она ломается. Еще момент касательно каши на 10 этаже, можно ли поставить две пароварки, так как сотрудники КГД работают с 9 ч утра, и нашим сотрудникам не всегда хватает. Спасибо! ","Я попрошу Гульнур переговорить с сотрудниками КГД.
Касательно мультиварки, мы точно чекнем, хватает или нет. В случае чего, можно пойти на 9-11 этжи. Если действительно не хватает - поставим еще одну",Q3 2024
Event,"Даурен, здравствуйте! Часто вижу что у нас в компании ребята проводят разного рода турниры, это очень круто! В нашей компании очень много любителей поиграть в белку. Можем ли организовать турнир по белке? Думаю большой бюджет не понадобится. Разве что карты купить) ","Карты мы купим, но турнир по белке - это ту мач, так как это азартная игра",Q3 2024
АХО,"Можно ли сделать тихую, темную комнату, где можно вздремнуть на 20-30 минут ","С дизайна убрали, так как были бы маленькие комнаты.
Моя рекомендация - делать это в кабинетах. Возможно, докупим что-нибудь по типу раскладушек, чтоб было всем доступно",Q3 2024
Даурен,"Добрый день Даурен ! на 11 этаже было классно ,сейчас на 10 как то совсем не то ",Нужна конкретика,Q3 2024
АХО,"татешка, которая приносила пирожки на 11 этаж, перестала приносить их по причине того, что у нее недостача свыше 3000 тенге. 
были случаи, когда недостачи были по 700-1000 тенге, она закрывала на это глаза, но ситуация только ухудшалась.

Кто не оплачивал труд человека, свежие вкусные прирожки были и сочники - у вас нет ДНК Каздрим, как не стыдно?
Больше этот человек не пой ""знаешь ли ты, вдоль ночных дорог"". ","Мы с апайкой поговорим, убедим ее, чтоб она приносила пирожки.
Научим апайку вести бизнес, чтоб подняла цену на 5%",Q3 2024
Кадры,"оставить выбор за работником BFE: 100к на фитнес, или скидка на абонемент конкретного зала - а именно LifeFitness(Заколлабиться с этой компанией и для всей компании сделать такое предложение)","Переговорим. Попрошу Гульмиру Купешеву, чтоб она договорилась с Life Fitness",Q3 2024
HR,"Добрый день, Даурен. Прошу пояснить как можно решить такой вопрос: не получила ежегодный  подарок на день рождения от компании. А очень хочется. Осадок остался, решить на должном уровне не получилось...","Очень странно. Напишите мне в личку, я лично от себя сделаю подарок, а также от компании",Q3 2024
Event,"Можно ли добавить event-ы для девушек? В экосистеме много различных соревнований (футбол, баскетбол, волейбол) и это здорово, но это преимущественно активности для парней. Хотелось бы добавить каких-то мероприятий, где девушки могли бы принять активное участие (возможно, практики по йоге/стретчингу, мастер-классы по социальным видам танцев - сальса, бачата и т.д.",Возьмем в работу,Q3 2024
Event,"Здравствуйте! Спасибо за дизайн офиса и завтраки, офис с каждым днем все красивее и уютнее! Хотелось бы попросить поставить на этажи массажные кресла, иногда в течение дня болит спина, шея и все тело, если уж мы не нанимаем массажиста, то можно хотя бы кресла 🙏🏼","Мы изучим этот вопрос.
Есть офисные массажисты, предлагаю сделать это за дримкоины.",Q3 2024
АХО,"Хочу музыкальную звукоизолированную комнату в офисе, чтобы там можно было петь, играть на гитаре, играть на синтезаторе. У нас много талантливых коллег, и такие «посиделки в музыкальной комнате» будут положительно влиять на командный дух, расслаблять после тяжелого дня и самое главное снимать стресс! ","Давайте подумаем над этим, на следующем спанч боб ответим",Q3 2024
АХО,"Здравствуйте! Можно ли что-то сделать со столешницей у раковин в уборных? На них всегда скапливается вода и во время мытья рук пачкается одежда. Возможно, изначально установили не ровно и поэтому такая проблема возникла.","Давайте чекним, я не готов пока ответить, на 9 этаже все ок",Q3 2024
АХО,"Добрый день! Можно ли сделать какие-либо дверцы в слотах коридора, где можно сидеть и работать самостоятельно? Небольшие, как непрозрачные ставни для окон, которые могут закрыть сантиметров 50, чтобы все равно можно было видеть, что человек работает или его очертания. Просто это невозможно, постоянно все проходят, отвлекаешься, невозможно оградиться от внешнего мира и сконцентрироваться на работе. Рядом люди работают с проводами в потолке, люди просто проходят или даже стоят и разговаривают рядом группами, буквально в 10 см от тебя, или рядом туалет и все ходят туда-сюда, по понятным причинам, или просто коллеги хотят поздороваться и узнать, каков статус задач... Пожалуйста, сделайте дверцы. Все-таки это же такие места, в которых можно было спокойно поработать без внешнего вмешательства, но получается совсем не так. Спасибо!","Окей, я понял, мы что-нибудь придумаем
Орынбек, Думан - возьмите в работу",Q3 2024
АХО,"Здравствуйте! Возможно ли на один из этажей поставить льдогенератор, чтобы делать айс латте)","Решили делать лед в специальных контейнерах, который будем разноситься по каждому этажу в золодильники, Добавим трубочки",Q3 2024
Event,"Здравствуйте очень мало информации по дримкоинам. Для всех это только худи. Предлагаю на каждый стол как в кафе поставить тейбл-тенты с ссылкой , так как сотрудники чаще всего говорят об этом другу другу во время обеда. Хотя бы не все столы. Или на кухне плакат стильный сс ссылкой около кофе машины , где будет вся информация. Заранее благодарю ","Окей, сделаем",Q3 2024
Event,"Приветствую. Хотел поблагодарить за все ивенты, которые прошли. Особенно за летние фесты. Организаторы лучшие! Спонсоры Зе Бест))) В связи с тем, что покидаю Каздрим хотел бы предложить чтобы покинувшие каздрим сотрудники имели доступ к ивентам. Дополнительная команда на спортивных мероприятиях (KD.Outsiders или что-то подобное). Доступ к корпоративным вылазкам с какой-нибудь скидкой). Балгабай 

ПС можно ответ на @bassikekz, если Спанч боб пройдет после 09.08.2024","Мы подумаем, идея интересная.
Единственное, те кого вы увололили по негативным моментам - добавлять не будем.
Возможно сделаем так, что бывшим сотрудникам участвовать платно",Q3 2024
Event,"Приветствую, Даурен. Говорят, что тимбилдинг предназначен для знакомства, сплочения и установления дружественных связей между всеми компаниями холдинга. Однако на практике это не всегда так. Когда мы сидели под шатром, к нам подошли руководители одной компании и достаточно дерзко заявили, что наша фирма уже заняла два шатра, и нам нужно освободить этот. Мы сгруппировались и освободили большую часть шатра, но в итоге туда никто не сел. Вопрос к вам, Даурен: нормально ли такое разделение и конкуренция внутри холдинга? Для чего на самом деле проводится общий тимбилдинг? Возможно, стоит отказаться от соревновательного формата, чтобы избежать агрессии между компаниями?","Во первых, это ннеприемлимо, дерзко заявлять о таком. Мы работаем в одной экосистеме, нужно быть более добрым, тем более руководителям.
Внедрим правила, перед следующим тимбилдингом всех проинструктируем",Q3 2024
